Ro	Time	E_SvFs	E
0.44	2.815	0.799312655858	0.799312655858
0.46	2.815	0.796442205181	0.796442205181
0.48	2.815	0.793011452981	0.793011452981
0.5	2.815	0.789009187671	0.789009187671
0.52	2.815	0.784424935748	0.784424935748
0.54	2.815	0.779256454879	0.779256454879
0.56	2.815	0.773498175627	0.773498175627
0.58	2.815	0.76716362043	0.76716362043
0.6	2.815	0.760256960211	0.760256960211
0.62	2.815	0.752776364292	0.752776364292
0.64	2.815	0.744860130064	0.744860130064
0.66	2.815	0.735891102447	0.735891102447
0.68	2.815	0.728109999385	0.728109999385
0.7	2.815	0.712616005257	0.712616005257
0.72	2.815	0.698346205471	0.698346205471
0.74	2.815	0.68309566793	0.68309566793
0.76	2.815	0.667515296257	0.667515296257
0.78	2.815	0.651498939166	0.651498939166
0.8	2.815	0.635074175349	0.635074175349
0.82	2.815	0.618259270012	0.618259270012
0.84	2.815	0.601043584108	0.601043584108
0.86	2.815	0.583436306751	0.583436306751
0.88	2.815	0.565339212666	0.565339212666
0.9	2.815	0.5469038216	0.5469038216
0.92	2.815	0.526755182171	0.526755182171
0.94	2.815	0.50928481775	0.50928481775
0.96	2.815	0.494562252355	0.494562252355
0.98	2.815	0.478006268389	0.478006268389
1.0	2.815	0.46164802411	0.46164802411
0.0	2.816	0.765629809722	0.765629809722
0.02	2.816	0.764739999864	0.764739999864
0.04	2.816	0.772026479865	0.772026479865
0.06	2.816	0.775249522827	0.775249522827
0.08	2.816	0.779215064736	0.779215064736
0.1	2.816	0.782314292941	0.782314292941
0.12	2.816	0.785310401369	0.785310401369
0.14	2.816	0.787365240947	0.787365240947
0.16	2.816	0.790086468684	0.790086468684
0.18	2.816	0.788389999862	0.788389999862
0.2	2.816	0.795185539688	0.795185539688
0.22	2.816	0.797533949534	0.797533949534
0.24	2.816	0.80046900315	0.80046900315
0.26	2.816	0.802422354501	0.802422354501
0.28	2.816	0.80403896995	0.80403896995
0.3	2.816	0.8051503465	0.8051503465
0.32	2.816	0.805824149143	0.805824149143
0.34	2.816	0.806034718956	0.806034718956
0.36	2.816	0.805777587303	0.805777587303
0.38	2.816	0.805036995172	0.805036995172
0.4	2.816	0.803797922089	0.803797922089
0.42	2.816	0.80204400948	0.80204400948
0.44	2.816	0.799758942885	0.799758942885
0.46	2.816	0.796927316013	0.796927316013
0.48	2.816	0.793534528249	0.793534528249
0.5	2.816	0.789569147809	0.789569147809
0.52	2.816	0.785020247677	0.785020247677
0.54	2.816	0.779885244043	0.779885244043
0.56	2.816	0.774157451457	0.774157451457
0.58	2.816	0.767850205152	0.767850205152
0.6	2.816	0.760966511585	0.760966511585
0.62	2.816	0.753502288146	0.753502288146
0.64	2.816	0.745630010878	0.745630010878
0.66	2.816	0.736647488284	0.736647488284
0.68	2.816	0.728300000924	0.728300000924
0.7	2.816	0.712940775091	0.712940775091
0.72	2.816	0.698251601239	0.698251601239
0.74	2.816	0.682521739526	0.682521739526
0.76	2.816	0.666484667762	0.666484667762
0.78	2.816	0.649997992213	0.649997992213
0.8	2.816	0.633085757036	0.633085757036
0.82	2.816	0.615763598864	0.615763598864
0.84	2.816	0.598012237315	0.598012237315
0.86	2.816	0.579828442095	0.579828442095
0.88	2.816	0.56116648433	0.56116648433
0.9	2.816	0.542021430279	0.542021430279
0.92	2.816	0.521976104394	0.521976104394
0.94	2.816	0.504243895878	0.504243895878
0.96	2.816	0.488919539604	0.488919539604
0.98	2.816	0.472518697376	0.472518697376
1.0	2.816	0.456285992725	0.456285992725
0.0	2.817	0.765470450657	0.765470450657
0.02	2.817	0.765469999926	0.765469999926
0.04	2.817	0.771850792102	0.771850792102
0.06	2.817	0.775105208559	0.775105208559
0.08	2.817	0.77911206229	0.77911206229
0.1	2.817	0.782199242039	0.782199242039
0.12	2.817	0.785203454139	0.785203454139
0.14	2.817	0.787214672235	0.787214672235
0.16	2.817	0.789893075031	0.789893075031
0.18	2.817	0.789149999915	0.789149999915
0.2	2.817	0.795031167154	0.795031167154
0.22	2.817	0.797464829546	0.797464829546
0.24	2.817	0.800485507012	0.800485507012
0.26	2.817	0.802491028025	0.802491028025
0.28	2.817	0.8041692783	0.8041692783
0.3	2.817	0.805323506297	0.805323506297
0.32	2.817	0.806040182175	0.806040182175
0.34	2.817	0.806289144735	0.806289144735
0.36	2.817	0.806069777753	0.806069777753
0.38	2.817	0.805365750764	0.805365750764
0.4	2.817	0.804162639413	0.804162639413
0.42	2.817	0.802443832015	0.802443832015
0.44	2.817	0.800192865343	0.800192865343
0.46	2.817	0.797393898847	0.797393898847
0.48	2.817	0.794031919376	0.794031919376
0.5	2.817	0.790094655314	0.790094655314
0.52	2.817	0.785570699637	0.785570699637
0.54	2.817	0.780455567255	0.780455567255
0.56	2.817	0.774742927815	0.774742927815
0.58	2.817	0.76844058876	0.76844058876
0.6	2.817	0.761559652826	0.761559652826
0.62	2.817	0.754072265848	0.754072265848
0.64	2.817	0.746238504147	0.746238504147
0.66	2.817	0.737163321109	0.737163321109
0.68	2.817	0.730839999211	0.730839999211
0.7	2.817	0.713029173714	0.713029173714
0.72	2.817	0.69800429996	0.69800429996
0.74	2.817	0.681805717501	0.681805717501
0.76	2.817	0.665357785398	0.665357785398
0.78	2.817	0.648428937943	0.648428937943
0.8	2.817	0.631061926927	0.631061926927
0.82	2.817	0.613261784628	0.613261784628
0.84	2.817	0.59500437987	0.59500437987
0.86	2.817	0.576280246603	0.576280246603
0.88	2.817	0.55706496859	0.55706496859
0.9	2.817	0.537260694152	0.537260694152
0.92	2.817	0.51738156446	0.51738156446
0.94	2.817	0.499398435487	0.499398435487
